id,team_id,name,position,jersey_number,goals,assists
1,39,Melvin Mastil,GK,1,0,0
2,39,Aissa Mandi,DF,2,0,0
3,39,Achref Abada,DF,3,0,0
4,39,Mohamed Amine Tougai,DF,4,0,0
5,39,Moussa Hadj,DF,5,0,0
6,39,Moussa Hadj,MF,6,0,0
7,39,Nouri Ait,FW,7,0,0
8,39,Zineddine Belaid,MF,8,0,0
9,39,Ramiz Zerrouki,FW,9,0,0
10,39,Riyad Mahrez,MF,10,0,0
11,39,Houssem Aouar,FW,11,0,0
12,39,Amine Gouiri,FW,12,0,0
13,39,Fares Chaibi,DF,13,0,0
14,39,Anis Hadj Moussa,MF,14,0,0
15,39,Nadhir Benbouali,DF,15,0,0
16,39,Jaouen Hadjam,GK,16,0,0
17,39,Hicham Boudaoui,DF,17,0,0
18,39,Rayan Ait-Nouri,FW,18,0,0
19,39,Oussama Benbot,MF,19,0,0
20,39,Mohamed Amoura,FW,20,0,0
21,39,Nabil Bentaleb,DF,21,0,0
22,39,Adil Boulbina,MF,22,0,0
23,39,Ramy Bensebaini,GK,23,0,0
24,39,Ibrahim Maza,MF,24,0,0
25,39,Luca Zidane,FW,25,0,0
26,39,Yassine Titraoui,DF,26,0,0
27,37,Juan Musso,GK,1,0,0
28,37,Marcos Senesi,MF,2,0,0
29,37,Nicolas Tagliafico,DF,3,0,0
30,37,Gonzalo Montiel,DF,4,0,0
31,37,Leandro Paredes,MF,5,0,0
32,37,Lisandro Martinez,DF,6,0,0
33,37,Rodrigo De Paul,MF,7,0,0
34,37,Valentin Barco,MF,8,0,0
35,37,Julian Alvarez,FW,9,0,0
36,37,Lionel Messi,FW,10,0,0
37,37,Giovani Lo Celso,MF,11,0,0
38,37,Geronimo Rulli,GK,12,0,0
39,37,Cristian Romero,DF,13,0,0
40,37,Exequiel Palacios,MF,14,0,0
41,37,Nico Gonzalez,MF,15,0,0
42,37,Thiago Almada,FW,16,0,0
43,37,Giuliano Simeone,FW,17,0,0
44,37,Nico Paz,FW,18,0,0
45,37,Nicolas Otamendi,DF,19,0,0
46,37,Alexis Mac Allister,MF,20,0,0
47,37,Jose Manuel Lopez,FW,21,0,0
48,37,Lautaro Martinez,FW,22,0,0
49,37,Emiliano Martinez,GK,23,0,0
50,37,Enzo Fernandez,MF,24,0,0
51,37,Facundo Medina,DF,25,0,0
52,37,Nahuel Molina,DF,26,0,0
53,16,Mathew Ryan,GK,1,0,0
54,16,Milos Degenek,DF,2,0,0
55,16,Alessandro Circati,DF,3,0,0
56,16,Jacob Italiano,DF,4,0,0
57,16,Jordan Bos,DF,5,0,0
58,16,Jason Geria,DF,6,0,0
59,16,Mathew Leckie,FW,7,0,0
60,16,Connor Metcalfe,MF,8,0,0
61,16,Mohamed Toure,FW,9,0,0
62,16,Ajdin Hrustic,FW,10,0,0
63,16,Awer Mabil,FW,11,0,0
64,16,Paul Izzo,GK,12,0,0
65,16,Aiden Oneill,MF,13,0,0
66,16,Cameron Devlin,MF,14,0,0
67,16,Kai Trewin,DF,15,0,0
68,16,Aziz Behich,DF,16,0,0
69,16,Nestory Irankunda,FW,17,0,0
70,16,Patrick Beach,GK,18,0,0
71,16,Harry Souttar,DF,19,0,0
72,16,Cristian Volpato,FW,20,0,0
73,16,Cameron Burgess,DF,21,0,0
74,16,Jackson Irvine,MF,22,0,0
75,16,Nishan Velupillay,FW,23,0,0
76,16,Paul Okon-Engstler,MF,24,0,0
77,16,Lucas Herrington,DF,25,0,0
78,16,Tete Yengi,FW,26,0,0
79,38,Alexander Schlager,GK,1,0,0
80,38,David Affengruber,DF,2,0,0
81,38,Kevin Danso,DF,3,0,0
82,38,Xaver Schlager,MF,4,0,0
83,38,Stefan Posch,DF,5,0,0
84,38,Nicolas Seiwald,MF,6,0,0
85,38,Marko Arnautovic,FW,7,0,0
86,38,David Alaba,DF,8,0,0
87,38,Marcel Sabitzer,MF,9,0,0
88,38,Florian Grillitsch,MF,10,0,0
89,38,Michael Gregoritsch,FW,11,0,0
90,38,Florian Wiegele,GK,12,0,0
91,38,Patrick Pentz,GK,13,0,0
92,38,Sasa Kalajdzic,FW,14,0,0
93,38,Philipp Lienhart,DF,15,0,0
94,38,Phillip Mwene,DF,16,0,0
95,25,Thibaut Courtois,GK,1,0,0
96,25,Zeno Debast,DF,2,0,0
97,25,Arthur Theate,DF,3,0,0
98,25,Brandon Mechele,DF,4,0,0
99,25,Maxim De Cuyper,DF,5,0,0
100,25,Axel Witsel,MF,6,0,0
101,25,Kevin De Bruyne,MF,7,0,0
102,25,Youri Tielemans,MF,8,0,0
103,25,Romelu Lukaku,FW,9,0,0
104,25,Leandro Trossard,FW,10,0,0
105,25,Jeremy Doku,FW,11,0,0
106,25,Senne Lammens,GK,12,0,0
107,25,Mike Penders,GK,13,0,0
108,25,Dodi Lukebakio,FW,14,0,0
109,25,Thomas Meunier,DF,15,0,0
110,25,Koni De Winter,DF,16,0,0
111,25,Charles De Ketelaere,FW,17,0,0
112,25,Joaquin Seys,DF,18,0,0
113,25,Diego Moreira,MF,19,0,0
114,25,Hans Vanaken,MF,20,0,0
115,25,Timothy Castagne,DF,21,0,0
116,25,Alexis Saelemaekers,MF,22,0,0
117,25,Nicolas Raskin,MF,23,0,0
118,25,Amadou Onana,MF,24,0,0
119,25,Nathan Ngoy,DF,25,0,0
120,25,Matias Fernandez-Pardo,FW,26,0,0
121,8,Nikola Vasilj,GK,1,0,0
122,8,Nihad Mujakic,DF,2,0,0
123,8,Dennis Hadzikadunic,DF,3,0,0
124,8,Tarik Muharemovic,DF,4,0,0
125,8,Sead Kolasinac,DF,5,0,0
126,8,Benjamin Tahirovic,MF,6,0,0
127,8,Amar Dedic,DF,7,0,0
128,8,Armin Gigovic,MF,8,0,0
129,8,Samed Bazdar,FW,9,0,0
130,8,Ermedin Demirovic,FW,10,0,0
131,8,Edin Dzeko,FW,11,0,0
132,8,Mladen Jurkas,GK,12,0,0
133,8,Ivan Basic,MF,13,0,0
134,8,Ivan Sunjic,MF,14,0,0
135,8,Amar Memic,MF,15,0,0
136,8,Amir Hadziahmetovic,MF,16,0,0
137,8,Dzenis Burnic,MF,17,0,0
138,8,Nikola Katic,DF,18,0,0
139,8,Kerim Alajbegovic,FW,19,0,0
140,8,Esmir Bajraktarevic,FW,20,0,0
141,8,Stjepan Radeljic,DF,21,0,0
142,8,Martin Zlomislic,GK,22,0,0
143,8,Haris Tabakovic,FW,23,0,0
144,8,Arjan Malic,DF,24,0,0
145,8,Jovo Lukic,FW,25,0,0
146,8,Ermin Mahmic,MF,26,0,0
147,9,Silva Ederson,GK,1,0,0
148,9,Magalhaes Gabriel,MF,2,0,0
149,9,Sandro Alex,DF,3,0,0
150,9,Junior Vinicius,DF,4,0,0
151,9,Guimaraes Bruno,MF,5,0,0
152,9,Cunha Matheus,DF,6,0,0
153,9,Jr Neymar,FW,7,0,0
154,9,Pereira Leo,MF,8,0,0
155,9,Santos Douglas,FW,9,0,0
156,9,Santos Danilo,FW,10,0,0
157,9,Paqueta Lucas,FW,11,0,0
158,9,Henrique Luiz,GK,12,0,0
159,9,Martinelli Gabriel,DF,13,0,0
160,9,Ibanez Roger,DF,14,0,0
161,9,Thiago Igor,DF,15,0,0
162,9,Correa Aoas,DF,16,0,0
163,9,Silva Lobo,MF,17,0,0
164,9,Cunha Santos Carneiro Da,MF,18,0,0
165,9,Belloli Dias,FW,19,0,0
166,9,Silva Pereira Da,MF,20,0,0
167,9,Nascimento Silva,FW,21,0,0
168,9,Melo Dos Santos Justino De,FW,22,0,0
169,9,Oliveira Dos Santos De,GK,23,0,0
170,9,Pessoa Moreira De Sousa,DF,24,0,0
171,9,Lima Tolentino Coelho De,FW,25,0,0
172,9,Silva Rosa Da,FW,26,0,0
173,32,Borges Diney,GK,1,0,0
174,32,Lopes Pico,DF,2,0,0
175,32,Costa Logan,DF,3,0,0
176,32,Pina Kevin,DF,4,0,0
177,32,Cabral Jovane,DF,5,0,0
178,32,Paulo Joao,MF,6,0,0
179,32,Benchimol Gilson,MF,7,0,0
180,32,Monteiro Jamiro,MF,8,0,0
181,32,Rodrigues Garry,FW,9,0,0
182,32,Rosa Marcio,MF,10,0,0
183,32,Cabral Sidny Lopes,MF,11,0,0
184,32,Duarte Deroy,GK,12,0,0
185,32,Duarte Laros,DF,13,0,0
186,32,Semedo Yannick,MF,14,0,0
187,32,Semedo Willy,MF,15,0,0
188,32,Arcanjo Telmo,MF,16,0,0
189,32,Livramento Dailon,MF,17,0,0
190,32,Mendes Ryan,MF,18,0,0
191,32,Costa Nuno Da,FW,19,0,0
192,32,Moreira Steven,FW,20,0,0
193,32,Santos Cj Dos,MF,21,0,0
194,32,Pina Wagner,DF,22,0,0
195,32,Pires Kelvin,GK,23,0,0
196,32,Varela Helio,DF,24,0,0
197,32,Tavares Dos Santos,DF,25,0,0
198,32,Borges Monteiro Sanches,MF,26,0,0
199,5,Dayne St. Clair,GK,1,0,0
200,5,Alistair Johnston,DF,2,0,0
201,5,Luc De Fougerolles,DF,3,0,0
202,5,Joel Waterman,DF,4,0,0
203,5,Mathieu Choiniere,DF,5,0,0
204,5,Stephen Eustaquio,MF,6,0,0
205,5,Ismael Kone,MF,7,0,0
206,5,Cyle Larin,MF,8,0,0
207,5,Jonathan David,FW,9,0,0
208,5,Liam Millar,FW,10,0,0
209,5,Tani Oluwaseyi,MF,11,0,0
210,5,Derek Cornelius,FW,12,0,0
211,5,Jacob Shaffelburg,DF,13,0,0
212,5,Moise Bombito,MF,14,0,0
213,5,Maxime Crepeau,DF,15,0,0
214,5,Tajon Buchanan,GK,16,0,0
215,5,Owen Goodman,FW,17,0,0
216,5,Alphonso Davies,GK,18,0,0
217,5,Ali Ahmed,DF,19,0,0
218,5,Jonathan Osorio,FW,20,0,0
219,5,Richie Laryea,MF,21,0,0
220,5,Niko Sigur,DF,22,0,0
221,5,Promise David,DF,23,0,0
222,5,Nathan Saliba,FW,24,0,0
223,5,Jayden Nelson,MF,25,0,0
224,42,David Ospina,GK,1,0,0
225,42,Daniel Munoz,DF,2,0,0
226,42,Jhon Lucumi,DF,3,0,0
