id,name,city,country,capacity
1,Estadio Azteca,Mexico City,Mexico,80824
2,MetLife Stadium,East Rutherford,USA,80663
3,AT&T Stadium,Arlington,USA,70649
4,SoFi Stadium,Inglewood,USA,70492
5,Arrowhead Stadium,Kansas City,USA,69045
6,Levi's Stadium,Santa Clara,USA,68827
7,NRG Stadium,Houston,USA,68777
8,Lincoln Financial Field,Philadelphia,USA,68324
9,Mercedes-Benz Stadium,Atlanta,USA,68239
10,Lumen Field,Seattle,USA,66925
11,Hard Rock Stadium,Miami Gardens,USA,64478
12,Gillette Stadium,Foxborough,USA,64146
13,BC Place,Vancouver,Canada,52497
14,Estadio BBVA,Monterrey,Mexico,51243
15,Estadio Akron,Zapopan,Mexico,45664
16,BMO Field,Toronto,Canada,43036
